Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
41685.8 1201.76 401.896 1.55289 0.000559191 0.000443837 -2.44645e-07 0.000443837 0.106371 -1.26444e-06 -2.44645e-07 -1.26444e-06 3.5813e-09  
41685.8 1201.8 401.909 1.55288 0.000561651 0.000443615 -2.50769e-07 0.000443615 0.106445 -1.26529e-06 -2.50769e-07 -1.26529e-06 3.58114e-09  
41685.8 1201.9 337.251 1.55485 0.000582827 0.000399603 -3.05881e-07 0.000399603 0.0796711 -1.78414e-06 -3.05881e-07 -1.78414e-06 3.59268e-09  
41685.8 1201.94 337.227 1.55484 0.000588016 0.000401575 -3.14055e-07 0.000401575 0.0797194 -1.78511e-06 -3.14055e-07 -1.78511e-06 3.59242e-09  
41686.8 1201.98 337.336 1.55457 0.000591355 0.000403476 -3.208e-07 0.000403476 0.0797586 -1.7859e-06 -3.208e-07 -1.7859e-06 3.59225e-09  
41686.8 1202.01 337.196 1.55481 0.000593972 0.000404927 -3.26849e-07 0.000404927 0.0797932 -1.78661e-06 -3.26849e-07 -1.78661e-06 3.59209e-09  
41686.8 1200.45 643.487 1.56797 0.000616681 0.00374609 -3.58255e-07 0.00374609 1.24296 1.17812e-07 -3.58255e-07 1.17812e-07 3.68448e-09  
41686.8 1200.45 645.228 1.56825 0.00061949 0.00374371 -3.6469e-07 0.00374371 1.25114 1.18612e-07 -3.6469e-07 1.18612e-07 3.68451e-09  
41686.8 1200.46 647.049 1.568 0.000622736 0.00374575 -3.7148e-07 0.00374575 1.25976 1.19458e-07 -3.7148e-07 1.19458e-07 3.68454e-09  
41686.8 1200.46 648.756 1.56824 0.000625489 0.00374361 -3.77799e-07 0.00374361 1.26779 1.20242e-07 -3.77799e-07 1.20242e-07 3.68457e-09  
41686.8 1202.57 282.567 1.55164 0.000636921 0.000629734 -3.90758e-07 0.000629734 0.129085 -2.3052e-06 -3.90758e-07 -2.3052e-06 3.62341e-09  
41686.8 1202.59 285.648 1.54669 0.000645578 0.000641959 -3.99958e-07 0.000641959 0.129207 -2.31584e-06 -3.99958e-07 -2.31584e-06 3.63708e-09  
41686.8 1202.67 282.674 1.55123 0.00064941 0.00064243 -4.0738e-07 0.00064243 0.129307 -2.32545e-06 -4.0738e-07 -2.32545e-06 3.64945e-09  
41687.8 1200.37 657.971 1.56941 0.000677277 0.00402385 -4.51318e-07 0.00402385 1.37112 4.13125e-08 -4.51318e-07 4.13125e-08 3.77622e-09  
41687.8 1200.38 659.919 1.5694 0.000681591 0.00402306 -4.58972e-07 0.00402306 1.38073 4.16157e-08 -4.58972e-07 4.16157e-08 3.77622e-09  
41687.8 1200.38 661.582 1.5694 0.000684728 0.00402232 -4.65509e-07 0.00402232 1.38894 4.18745e-08 -4.65509e-07 4.18745e-08 3.77621e-09  
41687.8 1201.99 433.639 1.55678 0.000681574 0.00095271 -4.72327e-07 0.00095271 0.267941 -1.50022e-06 -4.72327e-07 -1.50022e-06 3.68931e-09  
41687.8 1202.02 433.594 1.55702 0.000684706 0.000951612 -4.78596e-07 0.000951612 0.268232 -1.50184e-06 -4.78596e-07 -1.50184e-06 3.68924e-09  
41687.8 1202.04 433.751 1.55677 0.00068801 0.000951337 -4.8498e-07 0.000951337 0.268525 -1.50346e-06 -4.8498e-07 -1.50346e-06 3.68916e-09  
41687.8 1200.51 670.67 1.56843 0.000712385 0.00391205 -5.22314e-07 0.00391205 1.42264 4.01916e-08 -5.22314e-07 4.01916e-08 3.76953e-09  
41687.8 1200.52 672.25 1.56843 0.000715728 0.00391067 -5.28823e-07 0.00391067 1.43038 4.04316e-08 -5.28823e-07 4.04316e-08 3.76952e-09  
41687.8 1200.52 673.862 1.56842 0.000719228 0.00390938 -5.35465e-07 0.00390938 1.43826 4.06765e-08 -5.35465e-07 4.06765e-08 3.7695e-09  
41687.8 1200.52 675.444 1.56842 0.000722632 0.00390808 -5.4199e-07 0.00390808 1.44601 4.09169e-08 -5.4199e-07 4.09169e-08 3.76949e-09  
41687.8 1202.93 429.528 1.55534 0.000718063 0.000515674 -5.42827e-07 0.000515674 0.104766 -1.61892e-06 -5.42827e-07 -1.61892e-06 3.6763e-09  
41687.8 1202.96 429.441 1.55558 0.00072156 0.000517039 -5.49169e-07 0.000517039 0.104805 -1.61948e-06 -5.49169e-07 -1.61948e-06 3.67616e-09  
41688.8 1202.99 429.46 1.55557 0.000725025 0.000518474 -5.55437e-07 0.000518474 0.104844 -1.62e-06 -5.55437e-07 -1.62e-06 3.67597e-09  
41688.8 1200.73 718.817 1.56776 0.000753614 0.0039755 -5.98946e-07 0.0039755 1.55341 1.88885e-07 -5.98946e-07 1.88885e-07 3.76474e-09  
41688.8 1200.74 720.578 1.56775 0.000757223 0.00397434 -6.05445e-07 0.00397434 1.56148 1.89891e-07 -6.05445e-07 1.89891e-07 3.76473e-09  
41688.8 1200.74 722.309 1.56775 0.000760739 0.00397313 -6.11833e-07 0.00397313 1.56941 1.9088e-07 -6.11833e-07 1.9088e-07 3.76471e-09  
41688.8 1200.75 724.072 1.56776 0.000764402 0.0039719 -6.18343e-07 0.0039719 1.5775 1.91888e-07 -6.18343e-07 1.91888e-07 3.76469e-09  
41688.8 1204.49 441.293 1.55102 0.000760947 0.000492209 -6.14815e-07 0.000492209 0.0851507 -1.67584e-06 -6.14815e-07 -1.67584e-06 3.64211e-09  
41688.8 1204.53 441.206 1.55124 0.000764538 0.000494033 -6.20939e-07 0.000494033 0.0851729 -1.67619e-06 -6.20939e-07 -1.67619e-06 3.64189e-09  
41688.8 1204.57 441.224 1.55122 0.00076823 0.000495935 -6.27117e-07 0.000495935 0.0851951 -1.67652e-06 -6.27117e-07 -1.67652e-06 3.64164e-09  
41688.8 1200.67 734.164 1.56839 0.000801575 0.00394555 -6.83508e-07 0.00394555 1.64457 1.66475e-07 -6.83508e-07 1.66475e-07 3.7693e-09  
41688.8 1200.68 735.845 1.56815 0.000805452 0.00394734 -6.89968e-07 0.00394734 1.65243 1.67294e-07 -6.89968e-07 1.67294e-07 3.76932e-09  
41689.8 1200.68 737.548 1.5684 0.000809293 0.003945 -6.96426e-07 0.003945 1.66028 1.68108e-07 -6.96426e-07 1.68108e-07 3.76934e-09  
41689.8 1204.25 390.365 1.55237 0.000801526 0.000702178 -6.85129e-07 0.000702178 0.129314 -2.13534e-06 -6.85129e-07 -2.13534e-06 3.65412e-09  
