Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
59177.1 1200.02 476.701 1.57081 8.22865e-05 7.77947e-05 -6.69705e-10 7.77947e-05 0.483507 8.4053e-14 -6.69705e-10 8.4053e-14 7.97237e-12  
59177.1 1200.02 478.399 1.57079 8.37398e-05 7.79478e-05 -6.83243e-10 7.79478e-05 0.491997 8.40133e-14 -6.83243e-10 8.40133e-14 7.97263e-12  
59177.1 1200.02 480.166 1.57081 8.53707e-05 7.77369e-05 -6.97327e-10 7.77369e-05 0.50083 8.3972e-14 -6.97327e-10 8.3972e-14 7.97289e-12  
59177.1 1200.02 481.914 1.57054 8.69859e-05 8.11135e-05 -7.11264e-10 8.11135e-05 0.50957 8.5646e-14 -7.11264e-10 8.5646e-14 8.01466e-12  
59177.1 1200.02 483.597 1.57079 8.83712e-05 8.00837e-05 -7.24752e-10 8.00837e-05 0.517984 8.73508e-14 -7.24752e-10 8.73508e-14 8.05181e-12  
59177.1 1200.02 485.33 1.5703 8.99767e-05 8.65868e-05 -7.38711e-10 8.65868e-05 0.526651 9.08989e-14 -7.38711e-10 9.08989e-14 8.19746e-12  
59177.1 1200.02 487.095 1.57078 9.15482e-05 8.47054e-05 -7.53178e-10 8.47054e-05 0.535474 9.45952e-14 -7.53178e-10 9.45952e-14 8.33201e-12  
59178.1 1200.02 489.088 1.57079 9.38928e-05 8.46887e-05 -7.69788e-10 8.46887e-05 0.545441 9.48179e-14 -7.69788e-10 9.48179e-14 8.33214e-12  
59178.1 1200.02 491.769 1.57081 9.95935e-05 8.44473e-05 -7.92126e-10 8.44473e-05 0.558846 9.47711e-14 -7.92126e-10 9.47711e-14 8.33229e-12  
59178.1 1200.02 493.501 1.57079 0.000101134 8.46324e-05 -8.06553e-10 8.46324e-05 0.567503 9.47771e-14 -8.06553e-10 9.47771e-14 8.33255e-12  
